active,name,citymun_id/id,id
TRUE,"Adams (Pob.)",occ_configurations.res_citymun_1,res_brgy_1
TRUE,"Bani",occ_configurations.res_citymun_2,res_brgy_2
TRUE,"Buyon",occ_configurations.res_citymun_2,res_brgy_3
TRUE,"Cabaruan",occ_configurations.res_citymun_2,res_brgy_4
TRUE,"Cabulalaan",occ_configurations.res_citymun_2,res_brgy_5
TRUE,"Cabusligan",occ_configurations.res_citymun_2,res_brgy_6
TRUE,"Cadaratan",occ_configurations.res_citymun_2,res_brgy_7
TRUE,"Calioet-Libong",occ_configurations.res_citymun_2,res_brgy_8
TRUE,"Casilian",occ_configurations.res_citymun_2,res_brgy_9
TRUE,"Corocor",occ_configurations.res_citymun_2,res_brgy_10
TRUE,"Duripes",occ_configurations.res_citymun_2,res_brgy_11
TRUE,"Ganagan",occ_configurations.res_citymun_2,res_brgy_12
TRUE,"Libtong",occ_configurations.res_citymun_2,res_brgy_13
TRUE,"Macupit",occ_configurations.res_citymun_2,res_brgy_14
TRUE,"Nambaran",occ_configurations.res_citymun_2,res_brgy_15
TRUE,"Natba",occ_configurations.res_citymun_2,res_brgy_16
TRUE,"Paninaan",occ_configurations.res_citymun_2,res_brgy_17
TRUE,"Pasiocan",occ_configurations.res_citymun_2,res_brgy_18
TRUE,"Pasngal",occ_configurations.res_citymun_2,res_brgy_19
TRUE,"Pipias",occ_configurations.res_citymun_2,res_brgy_20
TRUE,"Pulangi",occ_configurations.res_citymun_2,res_brgy_21
TRUE,"Pungto",occ_configurations.res_citymun_2,res_brgy_22
TRUE,"San Agustin I (Pob.)",occ_configurations.res_citymun_2,res_brgy_23
TRUE,"San Agustin II (Pob.)",occ_configurations.res_citymun_2,res_brgy_24
TRUE,"San Andres I (Pob.)",occ_configurations.res_citymun_2,res_brgy_25
TRUE,"San Andres II (Pob.)",occ_configurations.res_citymun_2,res_brgy_26
TRUE,"San Gabriel I (Pob.)",occ_configurations.res_citymun_2,res_brgy_27
TRUE,"San Gabriel II (Pob.)",occ_configurations.res_citymun_2,res_brgy_28
TRUE,"San Pedro I (Pob.)",occ_configurations.res_citymun_2,res_brgy_29
TRUE,"San Pedro II (Pob.)",occ_configurations.res_citymun_2,res_brgy_30
TRUE,"San Roque I (Pob.)",occ_configurations.res_citymun_2,res_brgy_31
TRUE,"San Roque II (Pob.)",occ_configurations.res_citymun_2,res_brgy_32
TRUE,"San Simon I (Pob.)",occ_configurations.res_citymun_2,res_brgy_33
TRUE,"San Simon II (Pob.)",occ_configurations.res_citymun_2,res_brgy_34
TRUE,"San Vicente (Pob.)",occ_configurations.res_citymun_2,res_brgy_35
TRUE,"Sangil",occ_configurations.res_citymun_2,res_brgy_36
TRUE,"Santa Filomena I (Pob.)",occ_configurations.res_citymun_2,res_brgy_37
TRUE,"Santa Filomena II (Pob.)",occ_configurations.res_citymun_2,res_brgy_38
TRUE,"Santa Rita (Pob.)",occ_configurations.res_citymun_2,res_brgy_39
TRUE,"Santo Cristo I (Pob.)",occ_configurations.res_citymun_2,res_brgy_40
TRUE,"Santo Cristo II (Pob.)",occ_configurations.res_citymun_2,res_brgy_41
TRUE,"Tambidao",occ_configurations.res_citymun_2,res_brgy_42
TRUE,"Teppang",occ_configurations.res_citymun_2,res_brgy_43
TRUE,"Tubburan",occ_configurations.res_citymun_2,res_brgy_44
TRUE,"Alay-Nangbabaan (Alay 15-B)",occ_configurations.res_citymun_3,res_brgy_45
TRUE,"Alogoog",occ_configurations.res_citymun_3,res_brgy_46
TRUE,"Ar-arusip",occ_configurations.res_citymun_3,res_brgy_47
TRUE,"Aring",occ_configurations.res_citymun_3,res_brgy_48
TRUE,"Balbaldez",occ_configurations.res_citymun_3,res_brgy_49
TRUE,"Bato",occ_configurations.res_citymun_3,res_brgy_50
TRUE,"Camanga",occ_configurations.res_citymun_3,res_brgy_51
TRUE,"Canaan (Pob.)",occ_configurations.res_citymun_3,res_brgy_52
TRUE,"Caraitan",occ_configurations.res_citymun_3,res_brgy_53
TRUE,"Gabut Norte",occ_configurations.res_citymun_3,res_brgy_54
TRUE,"Gabut Sur",occ_configurations.res_citymun_3,res_brgy_55
TRUE,"Garreta (Pob.)",occ_configurations.res_citymun_3,res_brgy_56
TRUE,"Labut",occ_configurations.res_citymun_3,res_brgy_57
TRUE,"Lacuben",occ_configurations.res_citymun_3,res_brgy_58
TRUE,"Lubigan",occ_configurations.res_citymun_3,res_brgy_59
TRUE,"Mabusag Norte",occ_configurations.res_citymun_3,res_brgy_60
TRUE,"Mabusag Sur",occ_configurations.res_citymun_3,res_brgy_61
TRUE,"Madupayas",occ_configurations.res_citymun_3,res_brgy_62
TRUE,"Morong",occ_configurations.res_citymun_3,res_brgy_63
TRUE,"Nagrebcan",occ_configurations.res_citymun_3,res_brgy_64
TRUE,"Napu",occ_configurations.res_citymun_3,res_brgy_65
TRUE,"La Virgen Milagrosa (Paguetpet)",occ_configurations.res_citymun_3,res_brgy_66
TRUE,"Pagsanahan Norte",occ_configurations.res_citymun_3,res_brgy_67
TRUE,"Pagsanahan Sur",occ_configurations.res_citymun_3,res_brgy_68
TRUE,"Paltit",occ_configurations.res_citymun_3,res_brgy_69
TRUE,"Parang",occ_configurations.res_citymun_3,res_brgy_70
TRUE,"Pasuc",occ_configurations.res_citymun_3,res_brgy_71
TRUE,"Santa Cruz Norte",occ_configurations.res_citymun_3,res_brgy_72
TRUE,"Santa Cruz Sur",occ_configurations.res_citymun_3,res_brgy_73
TRUE,"Saud",occ_configurations.res_citymun_3,res_brgy_74
TRUE,"Turod",occ_configurations.res_citymun_3,res_brgy_75
TRUE,"Abaca",occ_configurations.res_citymun_4,res_brgy_76
TRUE,"Bacsil",occ_configurations.res_citymun_4,res_brgy_77
TRUE,"Banban",occ_configurations.res_citymun_4,res_brgy_78
TRUE,"Baruyen",occ_configurations.res_citymun_4,res_brgy_79
TRUE,"Dadaor",occ_configurations.res_citymun_4,res_brgy_80
TRUE,"Lanao",occ_configurations.res_citymun_4,res_brgy_81
TRUE,"Malasin",occ_configurations.res_citymun_4,res_brgy_82
TRUE,"Manayon",occ_configurations.res_citymun_4,res_brgy_83
TRUE,"Masikil",occ_configurations.res_citymun_4,res_brgy_84
TRUE,"Nagbalagan",occ_configurations.res_citymun_4,res_brgy_85
TRUE,"Payac",occ_configurations.res_citymun_4,res_brgy_86
TRUE,"San Lorenzo (Pob.)",occ_configurations.res_citymun_4,res_brgy_87
TRUE,"Taguiporo",occ_configurations.res_citymun_4,res_brgy_88
TRUE,"Utol",occ_configurations.res_citymun_4,res_brgy_89
TRUE,"Aglipay (Pob.)",occ_configurations.res_citymun_5,res_brgy_90
TRUE,"Baay",occ_configurations.res_citymun_5,res_brgy_91
TRUE,"Baligat",occ_configurations.res_citymun_5,res_brgy_92
TRUE,"Bungon",occ_configurations.res_citymun_5,res_brgy_93
TRUE,"Baoa East",occ_configurations.res_citymun_5,res_brgy_94
TRUE,"Baoa West",occ_configurations.res_citymun_5,res_brgy_95
TRUE,"Barani (Pob.)",occ_configurations.res_citymun_5,res_brgy_96
TRUE,"Ben-agan (Pob.)",occ_configurations.res_citymun_5,res_brgy_97
TRUE,"Bil-loca",occ_configurations.res_citymun_5,res_brgy_98
TRUE,"Biningan",occ_configurations.res_citymun_5,res_brgy_99
TRUE,"Callaguip (Pob.)",occ_configurations.res_citymun_5,res_brgy_100
TRUE,"Camandingan",occ_configurations.res_citymun_5,res_brgy_101
TRUE,"Camguidan",occ_configurations.res_citymun_5,res_brgy_102
TRUE,"Cangrunaan (Pob.)",occ_configurations.res_citymun_5,res_brgy_103
TRUE,"Capacuan",occ_configurations.res_citymun_5,res_brgy_104
TRUE,"Caunayan (Pob.)",occ_configurations.res_citymun_5,res_brgy_105
TRUE,"Valdez Pob. (Caoayan)",occ_configurations.res_citymun_5,res_brgy_106
TRUE,"Colo",occ_configurations.res_citymun_5,res_brgy_107
TRUE,"Pimentel (Cubol)",occ_configurations.res_citymun_5,res_brgy_108
TRUE,"Dariwdiw",occ_configurations.res_citymun_5,res_brgy_109
TRUE,"Acosta Pob. (Iloilo)",occ_configurations.res_citymun_5,res_brgy_110
TRUE,"Ablan Pob. (Labucao)",occ_configurations.res_citymun_5,res_brgy_111
TRUE,"Lacub (Pob.)",occ_configurations.res_citymun_5,res_brgy_112
TRUE,"Mabaleng",occ_configurations.res_citymun_5,res_brgy_113
TRUE,"Magnuang",occ_configurations.res_citymun_5,res_brgy_114
TRUE,"Maipalig",occ_configurations.res_citymun_5,res_brgy_115
TRUE,"Nagbacalan",occ_configurations.res_citymun_5,res_brgy_116
TRUE,"Naguirangan",occ_configurations.res_citymun_5,res_brgy_117
TRUE,"Ricarte Pob. (Nalasin)",occ_configurations.res_citymun_5,res_brgy_118
TRUE,"Palongpong",occ_configurations.res_citymun_5,res_brgy_119
TRUE,"Palpalicong (Pob.)",occ_configurations.res_citymun_5,res_brgy_120
TRUE,"Parangopong",occ_configurations.res_citymun_5,res_brgy_121
TRUE,"Payao",occ_configurations.res_citymun_5,res_brgy_122
TRUE,"Quiling Norte",occ_configurations.res_citymun_5,res_brgy_123
TRUE,"Quiling Sur",occ_configurations.res_citymun_5,res_brgy_124
TRUE,"Quiom",occ_configurations.res_citymun_5,res_brgy_125
TRUE,"Rayuray",occ_configurations.res_citymun_5,res_brgy_126
TRUE,"San Julian (Pob.)",occ_configurations.res_citymun_5,res_brgy_127
TRUE,"San Mateo",occ_configurations.res_citymun_5,res_brgy_128
TRUE,"San Pedro",occ_configurations.res_citymun_5,res_brgy_129
TRUE,"Suabit (Pob.)",occ_configurations.res_citymun_5,res_brgy_130
TRUE,"Sumader",occ_configurations.res_citymun_5,res_brgy_131
TRUE,"Tabug",occ_configurations.res_citymun_5,res_brgy_132
TRUE,"Ablan Sarat",occ_configurations.res_citymun_6,res_brgy_133
TRUE,"Agaga",occ_configurations.res_citymun_6,res_brgy_134
TRUE,"Bayog",occ_configurations.res_citymun_6,res_brgy_135
TRUE,"Bobon",occ_configurations.res_citymun_6,res_brgy_136
TRUE,"Buduan (Malituek)",occ_configurations.res_citymun_6,res_brgy_137
TRUE,"Nagsurot",occ_configurations.res_citymun_6,res_brgy_138
TRUE,"Paayas",occ_configurations.res_citymun_6,res_brgy_139
TRUE,"Pagali",occ_configurations.res_citymun_6,res_brgy_140
TRUE,"Poblacion",occ_configurations.res_citymun_6,res_brgy_141
TRUE,"Saoit",occ_configurations.res_citymun_6,res_brgy_142
TRUE,"Tanap",occ_configurations.res_citymun_6,res_brgy_143
TRUE,"Angset",occ_configurations.res_citymun_7,res_brgy_144
TRUE,"Barbaqueso (Pob.)",occ_configurations.res_citymun_7,res_brgy_145
TRUE,"Virbira",occ_configurations.res_citymun_7,res_brgy_146
TRUE,"Anggapang Norte",occ_configurations.res_citymun_8,res_brgy_147
TRUE,"Anggapang Sur",occ_configurations.res_citymun_8,res_brgy_148
TRUE,"Bimmanga",occ_configurations.res_citymun_8,res_brgy_149
TRUE,"Cabuusan",occ_configurations.res_citymun_8,res_brgy_150
TRUE,"Comcomloong",occ_configurations.res_citymun_8,res_brgy_151
TRUE,"Gaang",occ_configurations.res_citymun_8,res_brgy_152
TRUE,"Lang-ayan-Baramban",occ_configurations.res_citymun_8,res_brgy_153
TRUE,"Lioes",occ_configurations.res_citymun_8,res_brgy_154
TRUE,"Maglaoi Centro",occ_configurations.res_citymun_8,res_brgy_155
TRUE,"Maglaoi Norte",occ_configurations.res_citymun_8,res_brgy_156
TRUE,"Maglaoi Sur",occ_configurations.res_citymun_8,res_brgy_157
