active,name,region_id/id,id
TRUE,ILOCOS NORTE,occ_configurations.id_region_i,res_province_ilocos_norte
TRUE,ILOCOS SUR,occ_configurations.id_region_i,res_province_ilocos_sur
TRUE,LA UNION,occ_configurations.id_region_i,res_province_la_union
TRUE,PANGASINAN,occ_configurations.id_region_i,res_province_pangasinan
TRUE,BATANES,occ_configurations.id_region_ii,res_province_batanes
TRUE,CAGAYAN,occ_configurations.id_region_ii,res_province_cagayan
TRUE,ISABELA,occ_configurations.id_region_ii,res_province_isabela
TRUE,NUEVA VIZCAYA,occ_configurations.id_region_ii,res_province_nueva_vizcaya
TRUE,QUIRINO,occ_configurations.id_region_ii,res_province_quirino
TRUE,BATAAN,occ_configurations.id_region_iii,res_province_bataan
TRUE,BULACAN,occ_configurations.id_region_iii,res_province_bulacan
TRUE,NUEVA ECIJA,occ_configurations.id_region_iii,res_province_nueva_ecija
TRUE,PAMPANGA,occ_configurations.id_region_iii,res_province_pampanga
TRUE,TARLAC,occ_configurations.id_region_iii,res_province_tarlac
TRUE,ZAMBALES,occ_configurations.id_region_iii,res_province_zambales
TRUE,AURORA,occ_configurations.id_region_iii,res_province_aurora
TRUE,BATANGAS,occ_configurations.id_region_iv_a,res_province_batangas
TRUE,CAVITE,occ_configurations.id_region_iv_a,res_province_cavite
TRUE,LAGUNA,occ_configurations.id_region_iv_a,res_province_laguna
TRUE,QUEZON,occ_configurations.id_region_iv_a,res_province_quezon
TRUE,RIZAL,occ_configurations.id_region_iv_a,res_province_rizal
TRUE,MARINDUQUE,occ_configurations.id_region_iv_b,res_province_marinduque
TRUE,OCCIDENTAL MINDORO,occ_configurations.id_region_iv_b,res_province_occidental_mindoro
TRUE,ORIENTAL MINDORO,occ_configurations.id_region_iv_b,res_province_oriental_mindoro
TRUE,PALAWAN,occ_configurations.id_region_iv_b,res_province_palawan
TRUE,ROMBLON,occ_configurations.id_region_iv_b,res_province_romblon
TRUE,ALBAY,occ_configurations.id_region_v,res_province_albay
TRUE,CAMARINES NORTE,occ_configurations.id_region_v,res_province_camarines_norte
TRUE,CAMARINES SUR,occ_configurations.id_region_v,res_province_camarines_sur
TRUE,CATANDUANES,occ_configurations.id_region_v,res_province_catanduanes
TRUE,MASBATE,occ_configurations.id_region_v,res_province_masbate
TRUE,SORSOGON,occ_configurations.id_region_v,res_province_sorsogon
TRUE,AKLAN,occ_configurations.id_region_vi,res_province_aklan
TRUE,ANTIQUE,occ_configurations.id_region_vi,res_province_antique
TRUE,CAPIZ,occ_configurations.id_region_vi,res_province_capiz
TRUE,ILOILO,occ_configurations.id_region_vi,res_province_iloilo
TRUE,NEGROS OCCIDENTAL,occ_configurations.id_region_vi,res_province_negros_occidental
TRUE,GUIMARAS,occ_configurations.id_region_vi,res_province_guimaras
TRUE,BOHOL,occ_configurations.id_region_vii,res_province_bohol
TRUE,CEBU,occ_configurations.id_region_vii,res_province_cebu
TRUE,NEGROS ORIENTAL,occ_configurations.id_region_vii,res_province_negros_oriental
TRUE,SIQUIJOR,occ_configurations.id_region_vii,res_province_siquijor
TRUE,EASTERN SAMAR,occ_configurations.id_region_viii,res_province_eastern_samar
TRUE,LEYTE,occ_configurations.id_region_viii,res_province_leyte
TRUE,NORTHERN SAMAR,occ_configurations.id_region_viii,res_province_northern_samar
TRUE,SAMAR (WESTERN SAMAR),occ_configurations.id_region_viii,res_province_samar_western_samar
TRUE,SOUTHERN LEYTE,occ_configurations.id_region_viii,res_province_southern_leyte
TRUE,BILIRAN,occ_configurations.id_region_viii,res_province_biliran
TRUE,ZAMBOANGA DEL NORTE,occ_configurations.id_region_ix,res_province_zamboanga_del_norte
TRUE,ZAMBOANGA DEL SUR,occ_configurations.id_region_ix,res_province_zamboanga_del_sur
TRUE,ZAMBOANGA SIBUGAY,occ_configurations.id_region_ix,res_province_zamboanga_sibugay
TRUE,CITY OF ISABELA,occ_configurations.id_region_ix,res_province_city_of_isabela
TRUE,BUKIDNON,occ_configurations.id_region_x,res_province_bukidnon
TRUE,CAMIGUIN,occ_configurations.id_region_x,res_province_camiguin
TRUE,LANAO DEL NORTE,occ_configurations.id_region_x,res_province_lanao_del_norte
TRUE,MISAMIS OCCIDENTAL,occ_configurations.id_region_x,res_province_misamis_occidental
TRUE,MISAMIS ORIENTAL,occ_configurations.id_region_x,res_province_misamis_oriental
TRUE,DAVAO DEL NORTE,occ_configurations.id_region_xi,res_province_davao_del_norte
TRUE,DAVAO DEL SUR,occ_configurations.id_region_xi,res_province_davao_del_sur
TRUE,DAVAO ORIENTAL,occ_configurations.id_region_xi,res_province_davao_oriental
TRUE,COMPOSTELA VALLEY,occ_configurations.id_region_xi,res_province_compostela_valley
TRUE,DAVAO OCCIDENTAL,occ_configurations.id_region_xi,res_province_davao_occidental
TRUE,COTABATO (NORTH COTABATO),occ_configurations.id_region_xii,res_province_cotabato_north_cotabato
TRUE,SOUTH COTABATO,occ_configurations.id_region_xii,res_province_south_cotabato
TRUE,SULTAN KUDARAT,occ_configurations.id_region_xii,res_province_sultan_kudarat
TRUE,SARANGANI,occ_configurations.id_region_xii,res_province_sarangani
TRUE,COTABATO CITY,occ_configurations.id_region_xii,res_province_cotabato_city
TRUE,"NCR, CITY OF MANILA, FIRST DISTRICT",occ_configurations.id_region_ncr,res_province_ncr_first_district
TRUE,"NCR, SECOND DISTRICT",occ_configurations.id_region_ncr,res_province_ncr_second_district
TRUE,"NCR, THIRD DISTRICT",occ_configurations.id_region_ncr,res_province_ncr_third_district
TRUE,"NCR, FOURTH DISTRICT",occ_configurations.id_region_ncr,res_province_ncr_fourth_district
TRUE,ABRA,occ_configurations.id_region_car,res_province_abra
TRUE,BENGUET,occ_configurations.id_region_car,res_province_benguet
TRUE,IFUGAO,occ_configurations.id_region_car,res_province_ifugao
TRUE,KALINGA,occ_configurations.id_region_car,res_province_kalinga
TRUE,MOUNTAIN PROVINCE,occ_configurations.id_region_car,res_province_mountain_province
TRUE,APAYAO,occ_configurations.id_region_car,res_province_apayao
TRUE,BASILAN,occ_configurations.id_region_barmm,res_province_basilan
TRUE,LANAO DEL SUR,occ_configurations.id_region_barmm,res_province_lanao_del_sur
TRUE,MAGUINDANAO,occ_configurations.id_region_barmm,res_province_maguindanao
TRUE,SULU,occ_configurations.id_region_barmm,res_province_sulu
TRUE,TAWI-TAWI,occ_configurations.id_region_barmm,res_province_tawi_tawi
TRUE,AGUSAN DEL NORTE,occ_configurations.id_region_xiii,res_province_agusan_del_norte
TRUE,AGUSAN DEL SUR,occ_configurations.id_region_xiii,res_province_agusan_del_sur
TRUE,SURIGAO DEL NORTE,occ_configurations.id_region_xiii,res_province_surigao_del_norte
TRUE,SURIGAO DEL SUR,occ_configurations.id_region_xiii,res_province_surigao_del_sur
TRUE,DINAGAT ISLANDS,occ_configurations.id_region_xiii,res_province_dinagat_islands
