id,name,ordinal_number,cardinal_number
day_00,00,0,Zeroth
day_01,01,1,First
day_02,02,2,Second
day_03,03,3,Third
day_04,04,4,Fourth
day_05,05,5,Fifth
day_06,06,6,Sixth
day_07,07,7,Seventh
day_08,08,8,Eighth
day_09,09,9,Ninth
day_10,10,10,Tenth
day_11,11,11,Eleventh
day_12,12,12,Twelfth
day_13,13,13,Thirteenth
day_14,14,14,Fourteenth
day_15,15,15,Fifteenth
day_16,16,16,Sixteenth
day_17,17,17,Seventeenth
day_18,18,18,Eighteenth
day_19,19,19,Nineteenth
day_20,20,20,Twentieth
day_21,21,21,Twenty-First
day_22,22,22,Twenty-Second
day_23,23,23,Twenty-Third
day_24,24,24,Twenty-Fourth
day_25,25,25,Twenty-Fifth
day_26,26,26,Twenty-Sixth
day_27,27,27,Twenty-Seventh
day_28,28,28,Twenty-Eighth
day_29,29,29,Twenty-Ninth
day_30,30,30,Thirtieth
day_31,31,31,Thirty-First
